name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
DeepDiv,0.036800026893615716,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.035974979400634766,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.037249982357025146,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.02172499895095825,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.03474998474121094,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.01977497339248657,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.036449968814849854,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.035449981689453125,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04605001211166382,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04385000467300415,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04605001211166382,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.02770000696182251,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.04407501220703125,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.028325021266937256,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.047999978065490716,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04722499847412109,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.053250014781951904,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04944998025894165,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.05215001106262207,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.036499977111816406,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.05312502384185791,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.03305000066757202,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
