name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
DeepDiv,0.03602498769760132,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.036549985408782966,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.038550019264221184,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.0188249945640564,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.032875001430511475,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.019225001335144043,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.036449968814849854,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.035449981689453125,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04605001211166382,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.048799991607666016,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.044725000858306885,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.026899993419647217,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.04407501220703125,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.029375016689300537,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.047999978065490716,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04722499847412109,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.053250014781951904,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.050849974155426025,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.05042499303817749,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.031099975109100345,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.05312502384185791,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.03339999914169312,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.053499996662139886,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.051074981689453125,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
