,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16
DeepDAC,49.130,50.730,57.210,56.420,57.020,67.100,65.786,51.260
DeepDiv,46.470,45.840,55.110,53.430,55.020,61.960,58.486,47.949
Gini,24.970,30.560,57.920,53.780,47.980,59.910,59.209,36.662
CES,10.250,8.100,17.530,19.380,24.280,31.910,19.574,17.096
LSA,39.520,34.800,30.050,30.640,24.230,26.100,28.886,12.413
MAX_P,26.170,31.670,58.020,53.700,48.890,60.320,59.720,37.053
NAC,9.640,10.370,21.050,19.810,17.660,31.790,20.296,9.816
NBC,9.270,10.730,20.020,18.970,16.850,29.960,20.546,10.023
SNAC,8.250,9.090,19.230,17.620,17.090,30.090,19.992,10.015
TKNC,9.900,10.300,21.420,20.290,21.860,31.250,20.242,10.826
Random,8.680,9.460,20.670,19.070,18.760,29.920,20.127,9.620
