,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16,cifar100_resNet20,cifar100_resNet32,caltech_resNet20,caltech_resNet32
DeepDAC,44.453,47.807,55.127,54.927,55.133,65.073,64.154,47.653,66.54,67.68,74.362,73.045
DeepDiv,44.513,44.18,52.76,51.92,53.18,60.26,56.799,44.846,59.753,57.793,61.358,63.827
Gini,24.713,30.64,56.76,52.047,46.407,58.713,56.927,35.592,69.473,69.273,62.263,59.753
CES,10.407,8.28,17.36,19.82,24.54,31.56,19.36,17.119,47.167,47.633,32.263,33.786
LSA,39.227,32.767,31.053,31.473,23.307,25.487,27.847,11.197,36.08,38.067,43.416,43.128
MAX_P,25.96,31.64,56.913,52.273,47.267,59.213,57.464,36.545,70.247,69.747,63.58,61.276
var_rank,40.547,40.86,39.36,34.487,47.76,47.767,37.58,39.214,54.16,56.827,66.255,62.263
msp_gini,26.513,32.027,56.767,50.647,46.347,57.52,56.914,35.577,69.36,69.333,68.025,63.333
entrory_dropout_rank,23.227,31.173,52.053,48.233,46.627,57.273,53.228,35.052,67.707,69.053,62.428,64.527
CLUE_sample,20.64,22.913,27.447,23.233,34.54,42.867,35.984,18.21,54.4,55.513,47.86,43.663
NAC,8.933,10.167,20.387,19.627,18.12,31.973,20.166,9.65,46.7,47.06,29.424,28.56
NBC,9.393,10.68,19.84,19.027,17.693,30.727,20.423,9.768,46.12,46.473,29.506,29.794
SNAC,8.22,9.287,19.84,18.313,17.44,30.633,19.974,9.901,46.767,48.04,28.025,30.288
TKNC,9.613,10.013,20.773,19.467,21.4,31.333,20.223,10.178,46.68,48.173,33.663,32.757
Random,8.593,9.3,20.607,18.98,18.753,30.08,19.846,9.571,47.48,48.84,30.947,33.457
