,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16,cifar100_resNet20,cifar100_resNet32,caltech_resNet20,caltech_resNet32
DeepDAC,40.231,42.781,51.819,51.888,51.394,62.825,61.674,42.29,65.894,66.013,68.403,66.937
DeepDiv,39.587,39.644,49.175,48.481,49.025,56.981,52.516,39.539,57.994,56.306,57.137,60.532
Gini,16.856,24.275,52.975,47.619,41.925,54.694,51.412,30.784,66.175,65.719,56.559,54.051
CES,9.769,7.969,16.719,19.4,23.156,30.587,18.459,15.835,45.375,46.331,32.253,33.295
LSA,36.312,27.725,27.45,28.669,18.012,19.719,24.311,6.958,29.781,32.587,37.384,35.995
MAX_P,18.656,25.875,52.888,48.05,42.531,54.469,52.507,31.493,67.138,66.237,57.87,55.401
var_rank,38.044,38.156,37.681,32.019,44.775,45.944,33.999,34.09,52.519,55.806,64.506,59.684
msp_gini,20.106,25.894,52.938,46.85,41.987,53.75,51.412,30.76,66.031,65.713,62.886,58.41
entrory_dropout_rank,16,25.031,48.725,43.231,41.475,53.188,48.024,29.06,64.281,65.825,56.636,58.758
CLUE_sample,20.094,23.15,26.65,22.95,33.806,41.925,35.065,18.058,52.913,53.525,46.605,42.824
NAC,8.75,9.963,20.137,19.306,17.756,31.369,19.917,9.518,45.969,46.513,28.627,27.701
NBC,8.831,10.25,19.556,18.519,17.325,29.481,19.698,9.484,45.45,45.319,28.434,28.279
SNAC,8.131,8.906,18.994,17.506,17.106,29.875,19.187,9.434,45.031,46.719,26.813,27.662
TKNC,9.062,9.45,19.944,18.663,20.337,29.869,19.72,9.544,45.931,47.3,31.829,31.327
Random,8.619,9.081,20.206,18.325,18.281,29.794,19.252,9.34,45.981,47.156,29.9,31.906
