,,,DeepDAC,DeepDiv,DeepDiv,Gini,Gini,CES,CES,LSA,LSA,MAX_P,MAX_P,var_rank,var_rank,msp_gini,msp_gini,entrory_dropout_rank,entrory_dropout_rank,CLUE_sample,CLUE_sample,NAC,NAC,NBC,NBC,SNAC,SNAC,TKNC,TKNC,Random,Random
,,,acc,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value
Select 2.5%,mnist,LeNet5,0.034606663,0.030844998,0.009033203,0.021254992,0.000152588,0.020654996,3.05E-05,0.03087333,3.05E-05,0.021943319,0.000305176,0.034911672,0.532958984,0.021459997,0.000305176,0.020345,9.16E-05,0.028888329,6.10E-05,0.01907502,3.05E-05,0.019006689,3.05E-05,0.019790014,3.05E-05,0.023091694,3.05E-05,0.019998336,3.05E-05
Select 2.5%,mnist,LeNet1,0.032878308,0.032418303,0.299743652,0.021869969,0.00213623,0.015121647,3.05E-05,0.029006656,0.000152588,0.023511644,0.002685547,0.026076643,3.05E-05,0.025628301,0.012786865,0.023393309,9.16E-05,0.02648497,3.05E-05,0.019399973,3.05E-05,0.01937331,3.05E-05,0.018788314,3.05E-05,0.019416638,3.05E-05,0.019821644,3.05E-05
Select 2.5%,fashion,LeNet1,0.02501001,0.025098348,0.700256348,0.019653352,3.05E-05,0.013566685,3.05E-05,0.016301688,3.05E-05,0.020781684,0.000152588,0.019230016,3.05E-05,0.019063354,3.05E-05,0.019243352,6.10E-05,0.018398352,3.05E-05,0.015973337,3.05E-05,0.01364334,3.05E-05,0.014116669,3.05E-05,0.017581677,3.05E-05,0.016471688,3.05E-05
Select 2.5%,fashion,resNet20,0.033896673,0.033830011,0.660614014,0.027125009,0.006225586,0.023136679,6.10E-05,0.020383346,3.05E-05,0.031658347,0.194702148,0.02962834,0.041625977,0.027281678,0.007537842,0.028035005,0.041625977,0.029696679,0.012786865,0.005171657,3.05E-05,0.00737499,3.05E-05,0.011886652,0.000152588,0.010806648,3.05E-05,0.021650004,0.000213623
Select 2.5%,cifar,vgg16,0.025000004,0.022448337,0.138427734,0.02147667,0.00213623,0.019083337,3.05E-05,0.016095006,3.05E-05,0.022066669,0.001312256,0.020135001,6.10E-05,-0.071743329,0.012786865,0.022928341,0.017669678,0.021146671,6.10E-05,0.016673315,3.05E-05,0.016789989,3.05E-05,0.016038318,3.05E-05,0.018566648,3.05E-05,0.017861668,3.05E-05
Select 2.5%,cifar,resNet20,0.01284498,0.014841648,0.660614014,0.01311332,0.359863281,0.014969989,0.640136719,0.007704985,0.165130615,0.016696656,0.755645752,0.01010832,0.194702148,0.021516645,0.994496044,0.015824982,0.805297852,0.01318332,0.640136719,0.010728335,0.262237549,0.014569998,0.640136719,0.00919834,0.126190186,0.006960003,0.210601807,0.011966642,0.319335938
Select 2.5%,svhn,LeNet5,0.013331016,0.011823241,0.126190186,0.009040129,0.000305176,0.00204041,3.05E-05,0.006813383,0.000761638,0.009507509,0.000427246,0.009627227,0.020629883,0.008957545,0.000152588,0.006967052,9.16E-05,0.010063875,0.002685547,0.003751131,3.05E-05,0.003838205,3.05E-05,0.004025801,3.05E-05,0.003427176,3.05E-05,0.00392592,3.05E-05
Select 2.5%,svhn,vgg16,0.032267972,0.028777397,0.00100708,0.02274764,3.05E-05,0.020099616,3.05E-05,0.011057544,3.05E-05,0.023658061,6.10E-05,0.028621181,0.000427246,0.022336614,3.05E-05,0.020822446,3.05E-05,0.021700215,3.05E-05,0.014386781,3.05E-05,0.015701187,3.05E-05,0.015890062,3.05E-05,0.016936851,3.05E-05,0.016148067,3.05E-05
Select 2.5%,cifar100,resNet20,0.009174993,0.005734994,0.093811035,0.012833325,0.924285889,0.005296657,0.151397705,0.006699991,0.17956543,0.006749992,0.244354248,0.009066657,0.55480957,0.004124989,0.017669678,0.006886659,0.244354248,0.006923324,0.194702148,0.010851651,0.598022461,0.008238326,0.488983154,0.008469987,0.488983154,0.004904993,0.075714111,0.00544999,0.138427734
Select 2.5%,cifar100,resNet32,0.008320006,0.005028339,0.339385986,0.005698345,0.280700684,0.004443347,0.151397705,0.007568345,0.44519043,0.009185006,0.511016846,0.00837001,0.467041016,0.008803346,0.380767822,0.007511677,0.44519043,0.009718341,0.680664063,0.004283341,0.126190186,0.006011679,0.359863281,0.003208343,0.114654541,0.004935008,0.151397705,0.005816676,0.280700684
Select 2.5%,caltech,resNet20,0.024979468,0.028832738,0.987213135,0.022040713,0.067687988,0.020437749,0.036499023,0.015567231,0.000152588,0.023458715,0.29680912,0.028247035,0.972320557,0.024311574,0.359863281,0.023849181,0.29680912,0.029819179,0.996643066,0.020499408,0.009033203,0.023838905,0.280700684,0.02299633,0.210601807,0.027281149,0.848602295,0.022420903,0.053497314
Select 2.5%,caltech,resNet32,0.025205529,0.025205521,0.55480957,0.021239225,0.005126953,0.018567622,3.05E-05,0.018423772,0.005126953,0.022102364,0.001678467,0.021670794,0.015075684,0.020694625,0.001678467,0.020314431,0.027679443,0.025082211,0.44519043,0.014190312,0.000305176,0.010182921,3.05E-05,0.016214565,3.05E-05,0.01764284,0.000427246,0.016337876,3.05E-05
Select 5%,mnist,LeNet5,0.044564998,0.042361665,0.009033203,0.026141671,9.16E-05,0.027608331,3.05E-05,0.041721674,0.009033203,0.029816667,0.005126953,0.04528,0.700256348,0.029343331,0.005126953,0.026416659,0.000427246,0.03786,3.05E-05,0.026248348,3.05E-05,0.026300017,3.05E-05,0.026395019,3.05E-05,0.028631675,3.05E-05,0.026569994,3.05E-05
Select 5%,mnist,LeNet1,0.043509976,0.043179969,0.44519043,0.031459979,0.001678467,0.020204977,3.05E-05,0.035953311,6.10E-05,0.033956647,0.005126953,0.035116641,3.05E-05,0.034149981,0.006225586,0.033273307,0.002685547,0.036819979,3.05E-05,0.026798308,3.05E-05,0.026041635,3.05E-05,0.026741636,3.05E-05,0.026716638,3.05E-05,0.026738306,3.05E-05
Select 5%,fashion,LeNet1,0.034761691,0.033228358,0.036499023,0.029511678,3.05E-05,0.020550021,3.05E-05,0.021908347,3.05E-05,0.030916687,3.05E-05,0.029006684,3.05E-05,0.029153347,3.05E-05,0.025708354,3.05E-05,0.027933351,3.05E-05,0.023943337,3.05E-05,0.024080006,3.05E-05,0.021409996,3.05E-05,0.025985006,3.05E-05,0.024093354,3.05E-05
Select 5%,fashion,resNet20,0.044645011,0.045250014,0.511016846,0.037816679,0.015075684,0.033543344,0.000762939,0.028786671,0.000152588,0.041853336,0.210601807,0.038410012,0.023956299,0.043115012,0.319335938,0.040728347,0.075714111,0.038443347,0.007537842,0.020869986,3.05E-05,0.021544985,9.16E-05,0.020748317,3.05E-05,0.022249981,3.05E-05,0.034275019,0.007537842
Select 5%,cifar,vgg16,0.03289334,0.031940003,0.047302246,0.029376662,0.000579834,0.024536673,3.05E-05,0.019878328,3.05E-05,0.030161671,0.007537842,0.029355005,0.00100708,0.025530001,0.000152588,0.02947667,0.002142848,0.027978345,3.05E-05,0.019993317,3.05E-05,0.022198315,3.05E-05,0.021573317,3.05E-05,0.023956652,3.05E-05,0.022763336,3.05E-05
Select 5%,cifar,resNet20,0.024456644,0.022754975,0.401977539,0.02250332,0.227142334,0.013074978,0.012786865,0.016109995,0.084411621,0.020853321,0.17956543,0.02010498,0.126190186,0.020088315,0.210601807,0.020969995,0.262237549,0.018446652,0.210601807,0.014080004,0.015075684,0.016283341,0.075714111,0.011366669,0.005126953,0.015255002,0.036499023,0.019558314,0.012786865
Select 5%,svhn,LeNet5,0.027376548,0.023222037,0.010772705,0.020597704,3.05E-05,0.008913374,3.05E-05,0.014613406,3.05E-05,0.022616374,0.00100708,0.020638037,0.012786865,0.020315997,3.05E-05,0.018355596,3.05E-05,0.020874286,3.05E-05,0.011832209,3.05E-05,0.012750959,3.05E-05,0.010990953,3.05E-05,0.011417985,3.05E-05,0.010733557,3.05E-05
Select 5%,svhn,vgg16,0.040048142,0.038067242,0.023956299,0.031188536,0.000579834,0.028243438,3.05E-05,0.014694091,3.05E-05,0.032622663,0.00100708,0.036948113,0.010772705,0.031169331,0.001678467,0.029684611,0.000152588,0.029902935,3.05E-05,0.022718839,3.05E-05,0.021828262,3.05E-05,0.022696428,3.05E-05,0.023427578,3.05E-05,0.022319965,3.05E-05
Select 5%,cifar100,resNet20,0.016178324,0.01194999,0.151397705,0.012468324,0.165130615,0.004868325,0.000152588,0.006568323,0.000427246,0.013511656,0.103881836,0.015539992,0.467041016,0.013413326,0.138427734,0.010169995,0.036499023,0.016693326,0.55480957,0.012729994,0.210601807,0.013279992,0.138427734,0.015633333,0.423461914,0.013186663,0.17956543,0.01052166,0.020629883
Select 5%,cifar100,resNet32,0.014520011,0.013755006,0.401977539,0.015341677,0.598022461,0.014211679,0.660614014,0.003458337,0.000762939,0.011493343,0.126190186,0.013435006,0.262237549,0.010296673,0.075714111,0.016750004,0.737762451,0.011296674,0.194702148,0.008738343,0.067687988,0.013608338,0.55480957,0.010790012,0.299743652,0.014066674,0.789398193,0.009518341,0.067687988
Select 5%,caltech,resNet20,0.038512146,0.039662997,0.834869385,0.032018109,0.00100708,0.028226491,3.05E-05,0.020355546,3.05E-05,0.033888233,0.003356934,0.037700391,0.280700684,0.038440224,0.700256348,0.035758348,0.339385986,0.041440634,0.994873047,0.027270885,6.10E-05,0.033898505,0.00213623,0.028637505,6.10E-05,0.032295537,3.05E-05,0.032696283,0.00100708
Select 5%,caltech,resNet32,0.037063309,0.034258123,0.010772705,0.030261008,0.00073689,0.027949051,3.05E-05,0.025339111,0.000762939,0.031925619,0.001312256,0.031627627,0.000762939,0.033497755,0.017669678,0.030240464,0.000427246,0.035367866,0.060272217,0.02773327,3.05E-05,0.022215382,3.05E-05,0.025801488,3.05E-05,0.02553434,3.05E-05,0.023427884,3.05E-05
Select 7.5%,mnist,LeNet5,0.049206658,0.04862833,0.17956543,0.031669994,0.004180908,0.032561664,3.05E-05,0.047489993,0.027679443,0.034613339,0.010772705,0.051018329,0.995819092,0.034726671,0.012786865,0.030479999,0.010772705,0.044314996,6.10E-05,0.030361688,3.05E-05,0.03120002,3.05E-05,0.031490012,3.05E-05,0.032311682,3.05E-05,0.031611665,3.05E-05
Select 7.5%,mnist,LeNet1,0.049404979,0.049158311,0.359863281,0.038334974,0.00213623,0.02453498,3.05E-05,0.041551642,3.05E-05,0.040308305,0.003356934,0.039768306,3.05E-05,0.040978309,0.009033203,0.040006646,0.012786865,0.042649984,3.05E-05,0.031268307,3.05E-05,0.031776639,3.05E-05,0.031644976,3.05E-05,0.032171643,3.05E-05,0.032566647,3.05E-05
Select 7.5%,fashion,LeNet1,0.041015025,0.041001681,0.55480957,0.036196677,3.05E-05,0.025828346,3.05E-05,0.028993348,3.05E-05,0.037738351,6.10E-05,0.035653349,6.10E-05,0.03594168,0.000152588,0.033150009,3.05E-05,0.033220017,6.10E-05,0.029840004,3.05E-05,0.028623339,3.05E-05,0.027488347,3.05E-05,0.030501676,3.05E-05,0.02972002,3.05E-05
Select 7.5%,fashion,resNet20,0.051461673,0.050676672,0.55480957,0.045033344,0.023956299,0.039628347,9.16E-05,0.033098348,3.05E-05,0.047901682,0.053497314,0.047683346,0.103881836,0.050005003,0.280700684,0.047545008,0.041625977,0.047688341,0.047302246,0.026491646,3.05E-05,0.02494332,3.05E-05,0.025273319,3.05E-05,0.026666649,3.05E-05,0.042968349,0.001678467
Select 7.5%,cifar,vgg16,0.037988337,0.034726671,0.227142334,0.034823342,0.00213623,0.028948343,3.05E-05,0.022938331,3.05E-05,0.035966667,0.006225586,0.035543338,0.060272217,0.034860003,0.00213623,0.034726663,0.015075684,0.033511666,0.000152588,0.026846647,3.05E-05,0.027026649,3.05E-05,0.026869988,3.05E-05,-0.018886684,3.05E-05,0.024310009,3.05E-05
Select 7.5%,cifar,resNet20,0.024264979,0.026513322,0.772857666,0.022063319,0.280700684,0.024121658,0.619232178,0.013016649,0.027679443,0.025639991,0.660614014,0.024406652,0.619232178,0.025888312,0.719299316,0.02910165,0.915588379,0.022083318,0.210601807,0.023653332,0.532958984,0.019886669,0.031860352,0.016920006,0.010772705,0.019245005,0.060272217,0.020979993,0.227142334
