,,,DeepDAC,DeepDiv,DeepDiv,Gini,Gini,CES,CES,LSA,LSA,MAX_P,MAX_P,var_rank,var_rank,msp_gini,msp_gini,entrory_dropout_rank,entrory_dropout_rank,CLUE_sample,CLUE_sample,NAC,NAC,NBC,NBC,SNAC,SNAC,TKNC,TKNC,Random,Random
,,,acc,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value
Select 2.5%,mnist,LeNet5,0.034606663,0.030844998,好,0.021254992,好,0.020654996,好,0.03087333,好,0.021943319,好,0.034911672,,0.021459997,好,0.020345,好,0.028888329,好,0.01907502,好,0.019006689,好,0.019790014,好,0.023091694,好,0.019998336,好
Select 2.5%,mnist,LeNet1,0.032878308,0.032418303,,0.021869969,好,0.015121647,好,0.029006656,好,0.023511644,好,0.026076643,好,0.025628301,好,0.023393309,好,0.02648497,好,0.019399973,好,0.01937331,好,0.018788314,好,0.019416638,好,0.019821644,好
Select 2.5%,fashion,LeNet1,0.02501001,0.025098348,,0.019653352,好,0.013566685,好,0.016301688,好,0.020781684,好,0.019230016,好,0.019063354,好,0.019243352,好,0.018398352,好,0.015973337,好,0.01364334,好,0.014116669,好,0.017581677,好,0.016471688,好
Select 2.5%,fashion,resNet20,0.033896673,0.033830011,,0.027125009,好,0.023136679,好,0.020383346,好,0.031658347,,0.02962834,好,0.027281678,好,0.028035005,好,0.029696679,好,0.005171657,好,0.00737499,好,0.011886652,好,0.010806648,好,0.021650004,好
Select 2.5%,cifar,vgg16,0.025000004,0.022448337,,0.02147667,好,0.019083337,好,0.016095006,好,0.022066669,好,0.020135001,好,-0.071743329,好,0.022928341,好,0.021146671,好,0.016673315,好,0.016789989,好,0.016038318,好,0.018566648,好,0.017861668,好
Select 2.5%,cifar,resNet20,0.01284498,0.014841648,,0.01311332,,0.014969989,,0.007704985,,0.016696656,,0.01010832,,0.021516645,差,0.015824982,,0.01318332,,0.010728335,,0.014569998,,0.00919834,,0.006960003,,0.011966642,
Select 2.5%,svhn,LeNet5,0.013331016,0.011823241,,0.009040129,好,0.00204041,好,0.006813383,好,0.009507509,好,0.009627227,好,0.008957545,好,0.006967052,好,0.010063875,好,0.003751131,好,0.003838205,好,0.004025801,好,0.003427176,好,0.00392592,好
Select 2.5%,svhn,vgg16,0.032267972,0.028777397,好,0.02274764,好,0.020099616,好,0.011057544,好,0.023658061,好,0.028621181,好,0.022336614,好,0.020822446,好,0.021700215,好,0.014386781,好,0.015701187,好,0.015890062,好,0.016936851,好,0.016148067,好
Select 2.5%,cifar100,resNet20,0.009174993,0.005734994,,0.012833325,,0.005296657,,0.006699991,,0.006749992,,0.009066657,,0.004124989,好,0.006886659,,0.006923324,,0.010851651,,0.008238326,,0.008469987,,0.004904993,,0.00544999,
Select 2.5%,cifar100,resNet32,0.008320006,0.005028339,,0.005698345,,0.004443347,,0.007568345,,0.009185006,,0.00837001,,0.008803346,,0.007511677,,0.009718341,,0.004283341,,0.006011679,,0.003208343,,0.004935008,,0.005816676,
Select 2.5%,caltech,resNet20,0.024979468,0.028832738,差,0.022040713,,0.020437749,好,0.015567231,好,0.023458715,,0.028247035,差,0.024311574,,0.023849181,,0.029819179,差,0.020499408,好,0.023838905,,0.02299633,,0.027281149,,0.022420903,
Select 2.5%,caltech,resNet32,0.025205529,0.025205521,,0.021239225,好,0.018567622,好,0.018423772,好,0.022102364,好,0.021670794,好,0.020694625,好,0.020314431,好,0.025082211,,0.014190312,好,0.010182921,好,0.016214565,好,0.01764284,好,0.016337876,好
Select 5%,mnist,LeNet5,0.044564998,0.042361665,好,0.026141671,好,0.027608331,好,0.041721674,好,0.029816667,好,0.04528,,0.029343331,好,0.026416659,好,0.03786,好,0.026248348,好,0.026300017,好,0.026395019,好,0.028631675,好,0.026569994,好
