name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,407.3930950164795,0.010249972343444824,0,851,1000,0.025
TKNC,424.6493790149689,0.005675017833709717,0,841,1000,0.025
NBC,422.73676228523254,0.023599982261657715,0,846,1000,0.025
SNAC,422.22012758255005,0.0048999786376953125,0,825,1000,0.025
NAC,435.4733030796051,0.021399974822998047,0,1704,2000,0.05
TKNC,397.4786047935486,-0.0057250261306762695,0,1693,2000,0.05
NBC,437.6328077316284,0.028500020503997803,0,1688,2000,0.05
SNAC,430.69666838645935,0.007525026798248291,0,1660,2000,0.05
NAC,433.3180048465729,0.0100250244140625,0,2551,3000,0.075
TKNC,495.631875038147,0.026525020599365234,0,2526,3000,0.075
NBC,490.67249822616577,0.03275001049041748,0,2522,3000,0.075
SNAC,488.2909953594208,0.004549980163574219,0,2495,3000,0.075
NAC,490.5547013282776,0.018675029277801514,0,3383,4000,0.1
TKNC,460.32197427749634,0.00830000638961792,0,3367,4000,0.1
NBC,455.74384236335754,0.020274996757507324,0,3346,4000,0.1
SNAC,495.8951346874237,0.02492499351501465,0,3338,4000,0.1
