name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,412.97942447662354,0.01744997501373291,0,848,1000,0.025
TKNC,412.3865478038788,0.010675013065338135,0,837,1000,0.025
NBC,406.12681436538696,0.0019500255584716797,0,821,1000,0.025
SNAC,398.69562554359436,0.014050006866455078,0,816,1000,0.025
NAC,404.72250413894653,0.004474997520446777,0,1701,2000,0.05
TKNC,424.6011896133423,0.0033749938011169434,0,1689,2000,0.05
NBC,395.513649225235,0.024275004863739014,0,1665,2000,0.05
SNAC,427.81314182281494,0.002674996852874756,0,1652,2000,0.05
NAC,399.4705092906952,0.015749990940093994,0,2549,3000,0.075
TKNC,421.0425817966461,0.018225014209747314,0,2522,3000,0.075
NBC,436.786340713501,0.007624983787536621,0,2502,3000,0.075
SNAC,454.4646451473236,0.016950011253356934,0,2485,3000,0.075
NAC,419.414883852005,0.011075019836425781,0,3383,4000,0.1
TKNC,439.1546332836151,0.011250019073486328,0,3365,4000,0.1
NBC,429.47431445121765,0.03627502918243408,0,3328,4000,0.1
SNAC,399.3568196296692,-0.0019749999046325684,0,3329,4000,0.1
