name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,384.1088252067566,0.006224989891052246,0,1000,1000,0.025
TKNC,419.2792909145355,-0.0012249946594238281,0,1000,1000,0.025
NBC,393.16065287590027,0.02090001106262207,0,1000,1000,0.025
SNAC,401.7110273838043,0.019599974155426025,0,1000,1000,0.025
NAC,399.4518494606018,-0.004149973392486572,0,2000,2000,0.05
TKNC,404.9082636833191,0.018474996089935303,0,2000,2000,0.05
NBC,392.6299412250519,0.021700024604797363,0,2000,2000,0.05
SNAC,420.9220838546753,0.005249977111816406,0,2000,2000,0.05
NAC,423.11166286468506,0.03834998607635498,0,3000,3000,0.075
TKNC,423.1461400985718,0.011825025081634521,0,3000,3000,0.075
NBC,413.6249632835388,0.026575028896331787,0,3000,3000,0.075
SNAC,423.53051137924194,0.017199993133544922,0,3000,3000,0.075
NAC,471.89046001434326,0.016475021839141846,0,4000,4000,0.1
TKNC,443.9284174442291,0.0037000179290771484,0,4000,4000,0.1
NBC,464.3633825778961,0.02897500991821289,0,4000,4000,0.1
SNAC,428.7018446922302,0.042150020599365234,0,4000,4000,0.1
