name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,406.11169958114624,0.012974977493286133,0,816,1000,0.025
TKNC,414.2701563835144,0.032649993896484375,0,815,1000,0.025
NBC,433.5397479534149,0.002174973487854004,0,762,1000,0.025
SNAC,412.5882649421692,0.002825021743774414,0,770,1000,0.025
NAC,416.47370290756226,0.006224989891052246,0,1673,2000,0.05
TKNC,473.8740904331207,0.012475013732910156,0,1666,2000,0.05
NBC,501.088036775589,0.01705002784729004,0,1604,2000,0.05
SNAC,467.6589946746826,0.02995002269744873,0,1609,2000,0.05
NAC,442.31825137138367,0.033100008964538574,0,2520,3000,0.075
TKNC,435.3442485332489,0.020500004291534424,0,2499,3000,0.075
NBC,429.04625940322876,0.02762502431869507,0,2441,3000,0.075
SNAC,404.46085929870605,0.018975019454956055,0,2442,3000,0.075
NAC,448.53033471107483,0.01985001564025879,0,3351,4000,0.1
TKNC,420.43791007995605,0.028800010681152344,0,3345,4000,0.1
NBC,418.03065633773804,0.03322499990463257,0,3268,4000,0.1
SNAC,424.8485960960388,0.026075005531311035,0,3290,4000,0.1
