name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,392.298216342926,0.010500013828277588,0,1000,1000,0.025
TKNC,414.6602792739868,-0.02090001106262207,0,1000,1000,0.025
NBC,402.5174057483673,0.005774974822998047,0,1000,1000,0.025
SNAC,410.37095618247986,0.007175028324127197,0,1000,1000,0.025
NAC,395.1720814704895,0.02015000581741333,0,2000,2000,0.05
TKNC,463.1340239048004,0.013525009155273438,0,2000,2000,0.05
NBC,447.58899688720703,0.0007749795913696289,0,2000,2000,0.05
SNAC,435.377765417099,0.023649990558624268,0,2000,2000,0.05
NAC,447.35151076316833,0.026875019073486328,0,3000,3000,0.075
TKNC,401.9091114997864,0.02385002374649048,0,3000,3000,0.075
NBC,440.1280982494354,0.029474973678588867,0,3000,3000,0.075
SNAC,436.952663898468,0.03227502107620239,0,3000,3000,0.075
NAC,446.9369442462921,0.024800002574920654,0,4000,4000,0.1
TKNC,447.3232593536377,0.03712499141693115,0,4000,4000,0.1
NBC,441.5442509651184,0.029150009155273438,0,4000,4000,0.1
SNAC,448.97237634658813,0.030825018882751465,0,4000,4000,0.1
