name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,225.48686599731445,0.017324984073638916,0,849,1000,0.025
TKNC,214.42177438735962,0.020349979400634766,0,938,1000,0.025
NBC,215.8949420452118,0.016875028610229492,0,904,1000,0.025
SNAC,210.86065125465393,0.015600025653839111,0,887,1000,0.025
NAC,210.51255679130554,0.023074984550476074,0,1710,2000,0.05
TKNC,209.00382041931152,0.024174988269805908,0,1779,2000,0.05
NBC,204.34290385246277,0.021399974822998047,0,1740,2000,0.05
SNAC,203.68311619758606,0.02120000123977661,0,1715,2000,0.05
NAC,206.95017433166504,0.02679997682571411,0,2556,3000,0.075
TKNC,203.2733714580536,0.027824997901916504,0,2630,3000,0.075
NBC,205.9937813282013,0.025574982166290283,0,2580,3000,0.075
SNAC,207.7957603931427,0.025849997997283936,0,2548,3000,0.075
NAC,208.5684106349945,0.030924975872039795,0,3393,4000,0.1
TKNC,206.1181766986847,0.030825018882751465,0,3459,4000,0.1
NBC,208.44368410110474,0.030224978923797607,0,3418,4000,0.1
SNAC,207.03415179252625,0.031050026416778564,0,3382,4000,0.1
