name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,205.7224097251892,0.01464998722076416,0,852,1000,0.025
TKNC,208.41072607040405,0.018525004386901855,0,865,1000,0.025
NBC,206.5920922756195,0.01737499237060547,0,865,1000,0.025
SNAC,201.16197085380554,0.01810002326965332,0,898,1000,0.025
NAC,210.52651643753052,0.02240002155303955,0,1713,2000,0.05
TKNC,210.5728268623352,0.021375000476837158,0,1695,2000,0.05
NBC,205.1616506576538,0.02324998378753662,0,1702,2000,0.05
SNAC,208.5528576374054,0.02090001106262207,0,1723,2000,0.05
NAC,210.68405723571777,0.028400003910064697,0,2559,3000,0.075
TKNC,217.19744300842285,0.03100001811981201,0,2546,3000,0.075
NBC,232.64099669456482,0.0252000093460083,0,2541,3000,0.075
SNAC,228.12128043174744,0.0258750319480896,0,2555,3000,0.075
NAC,233.01457834243774,0.02837502956390381,0,3395,4000,0.1
TKNC,232.28028631210327,0.03142499923706055,0,3379,4000,0.1
NBC,232.32644486427307,0.030300021171569824,0,3385,4000,0.1
SNAC,228.22506403923035,0.031674981117248535,0,3388,4000,0.1
