name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,225.05096793174744,0.014750003814697266,0,1000,1000,0.025
TKNC,222.08535027503967,0.015025019645690918,0,1000,1000,0.025
NBC,223.563396692276,0.01812499761581421,0,1000,1000,0.025
SNAC,224.31747460365295,0.016574978828430176,0,1000,1000,0.025
NAC,230.3105616569519,0.02415001392364502,0,2000,2000,0.05
TKNC,228.1516833305359,0.02640002965927124,0,2000,2000,0.05
NBC,229.62686491012573,0.02415001392364502,0,2000,2000,0.05
SNAC,224.41924238204956,0.024800002574920654,0,2000,2000,0.05
NAC,231.62586045265198,0.028550028800964355,0,3000,3000,0.075
TKNC,227.53844022750854,0.029675006866455078,0,3000,3000,0.075
NBC,222.75623679161072,0.02679997682571411,0,3000,3000,0.075
SNAC,220.6227262020111,0.026575028896331787,0,3000,3000,0.075
NAC,224.76944303512573,0.02952498197555542,0,4000,4000,0.1
TKNC,222.2842833995819,0.029675006866455078,0,4000,4000,0.1
NBC,225.1053352355957,0.03020000457763672,0,4000,4000,0.1
SNAC,234.1156313419342,0.03395003080368042,0,4000,4000,0.1
