name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,221.1453239917755,0.01765000820159912,0,853,1000,0.025
TKNC,199.64517331123352,0.020200014114379883,0,963,1000,0.025
NBC,199.4232213497162,0.014625012874603271,0,841,1000,0.025
SNAC,203.24809622764587,0.016749978065490723,0,856,1000,0.025
NAC,197.26535296440125,-0.014575004577636719,0,1714,2000,0.05
TKNC,205.05551600456238,0.02340000867843628,0,1808,2000,0.05
NBC,205.08334255218506,0.020475029945373535,0,1680,2000,0.05
SNAC,203.27118825912476,0.020950019359588623,0,1680,2000,0.05
NAC,208.8845865726471,0.028124988079071045,0,2559,3000,0.075
TKNC,207.2420175075531,0.025799989700317383,0,2661,3000,0.075
NBC,211.047842502594,0.024049997329711914,0,2514,3000,0.075
SNAC,210.05899667739868,0.026149988174438477,0,2511,3000,0.075
NAC,211.97838616371155,0.030900001525878906,0,3398,4000,0.1
TKNC,211.4458327293396,0.03172498941421509,0,3490,4000,0.1
NBC,209.2137894630432,0.03095000982284546,0,3355,4000,0.1
SNAC,203.82017254829407,0.03004997968673706,0,3347,4000,0.1
