name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,45.79782223701477,0.014299988746643066,0,851,1000,0.025
TKNC,45.96119952201843,0.014425039291381836,0,827,1000,0.025
NBC,45.08013653755188,0.012000024318695068,0,837,1000,0.025
SNAC,44.608240604400635,0.013875007629394531,0,823,1000,0.025
NAC,46.48618936538696,0.021400034427642822,0,1705,2000,0.05
TKNC,46.08324408531189,0.022900044918060303,0,1684,2000,0.05
NBC,46.1371648311615,0.02437502145767212,0,1677,2000,0.05
SNAC,46.54964637756348,0.01985001564025879,0,1654,2000,0.05
NAC,46.30157542228699,0.029025018215179443,0,2552,3000,0.075
TKNC,46.38222694396973,0.02927500009536743,0,2517,3000,0.075
NBC,46.15202355384827,0.026775002479553223,0,2520,3000,0.075
SNAC,45.34315228462219,0.025600016117095947,0,2493,3000,0.075
NAC,47.54399824142456,0.02974998950958252,0,3380,4000,0.1
TKNC,46.654226541519165,0.034575045108795166,0,3351,4000,0.1
NBC,46.25286245346069,0.03334999084472656,0,3345,4000,0.1
SNAC,46.58994936943054,0.030350029468536377,0,3336,4000,0.1
