name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,54.0047869682312,0.015700042247772217,0,850,1000,0.025
TKNC,45.386441230773926,0.016025006771087646,0,828,1000,0.025
NBC,45.30838584899902,0.012750029563903809,0,836,1000,0.025
SNAC,46.021161794662476,0.014225006103515625,0,822,1000,0.025
NAC,45.316017627716064,0.02490001916885376,0,1704,2000,0.05
TKNC,44.99320411682129,0.025600016117095947,0,1686,2000,0.05
NBC,45.68795299530029,0.02362501621246338,0,1677,2000,0.05
SNAC,46.14133048057556,0.01985001564025879,0,1653,2000,0.05
NAC,46.05701446533203,0.02662503719329834,0,2551,3000,0.075
TKNC,45.42383050918579,0.029700040817260742,0,2518,3000,0.075
NBC,46.035439252853394,0.02792501449584961,0,2520,3000,0.075
SNAC,45.781306743621826,0.026024997234344482,0,2492,3000,0.075
NAC,46.83968138694763,0.03132504224777222,0,3379,4000,0.1
TKNC,47.15267753601074,0.036100029945373535,0,3353,4000,0.1
NBC,46.11310124397278,0.03299999237060547,0,3345,4000,0.1
SNAC,46.657992362976074,0.030025005340576172,0,3336,4000,0.1
