name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,46.003615617752075,0.01644998788833618,0,1000,1000,0.025
TKNC,45.1260929107666,0.01855003833770752,0,1000,1000,0.025
NBC,45.28936839103699,0.0153999924659729,0,1000,1000,0.025
SNAC,44.90259122848511,0.016250014305114746,0,1000,1000,0.025
NAC,45.5382559299469,0.024275004863739014,0,2000,2000,0.05
TKNC,45.6956992149353,0.028775036334991455,0,2000,2000,0.05
NBC,45.92576026916504,0.027125000953674316,0,2000,2000,0.05
SNAC,46.255025148391724,0.026374995708465576,0,2000,2000,0.05
NAC,46.39805722236633,0.029799997806549072,0,3000,3000,0.075
TKNC,46.245930671691895,0.0314750075340271,0,3000,3000,0.075
NBC,45.635940074920654,0.030525028705596924,0,3000,3000,0.075
SNAC,46.23998713493347,0.028475046157836914,0,3000,3000,0.075
NAC,46.564016342163086,0.03549998998641968,0,4000,4000,0.1
TKNC,46.813037395477295,0.038600027561187744,0,4000,4000,0.1
NBC,46.704492807388306,0.037474989891052246,0,4000,4000,0.1
SNAC,46.23032474517822,0.03659999370574951,0,4000,4000,0.1
