name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,45.24685716629028,0.01500004529953003,0,850,1000,0.025
TKNC,45.25850534439087,0.016950011253356934,0,827,1000,0.025
NBC,46.325578927993774,0.011925041675567627,0,833,1000,0.025
SNAC,46.132312536239624,0.014699995517730713,0,823,1000,0.025
NAC,46.85374045372009,0.024049997329711914,0,1704,2000,0.05
TKNC,46.46474099159241,0.02422499656677246,0,1684,2000,0.05
NBC,45.982874155044556,0.023350000381469727,0,1674,2000,0.05
SNAC,45.50206518173218,0.02097499370574951,0,1653,2000,0.05
NAC,46.78854060173035,0.025849997997283936,0,2551,3000,0.075
TKNC,46.38813400268555,0.031050026416778564,0,2516,3000,0.075
NBC,47.5922417640686,0.027275025844573975,0,2516,3000,0.075
SNAC,46.19444227218628,0.025300025939941406,0,2493,3000,0.075
NAC,47.97337102890015,0.03200000524520874,0,3379,4000,0.1
TKNC,47.494582653045654,0.035425007343292236,0,3351,4000,0.1
NBC,47.29633927345276,0.03172498941421509,0,3342,4000,0.1
SNAC,46.73382043838501,0.03200000524520874,0,3337,4000,0.1
