name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,45.50157046318054,0.017250001430511475,0,1000,1000,0.025
TKNC,46.001482009887695,0.01985001564025879,0,1000,1000,0.025
NBC,45.745638847351074,0.016175031661987305,0,1000,1000,0.025
SNAC,45.551398515701294,0.014750003814697266,0,1000,1000,0.025
NAC,46.01386260986328,0.02597498893737793,0,2000,2000,0.05
TKNC,46.18999910354614,0.027424991130828857,0,2000,2000,0.05
NBC,45.493969440460205,0.0258750319480896,0,2000,2000,0.05
SNAC,46.25316071510315,0.023450016975402832,0,2000,2000,0.05
NAC,46.72291660308838,0.0291750431060791,0,3000,3000,0.075
TKNC,46.0620551109314,0.03115004301071167,0,3000,3000,0.075
NBC,47.26356267929077,0.029049992561340332,0,3000,3000,0.075
SNAC,46.324265003204346,0.028475046157836914,0,3000,3000,0.075
NAC,47.04761075973511,0.03492504358291626,0,4000,4000,0.1
TKNC,46.958884954452515,0.03817504644393921,0,4000,4000,0.1
NBC,47.84689497947693,0.03677499294281006,0,4000,4000,0.1
SNAC,46.70548129081726,0.03549998998641968,0,4000,4000,0.1
