name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,256.68287801742554,0.0059999823570251465,0,849,1000,0.025
TKNC,280.3886368274689,0.027000010013580322,0,815,1000,0.025
NBC,259.6874222755432,0.005800008773803711,0,839,1000,0.025
SNAC,264.93914103507996,0.019074976444244385,0,825,1000,0.025
NAC,278.03291726112366,0.02695000171661377,0,1702,2000,0.05
TKNC,257.1161253452301,0.022899985313415527,0,1667,2000,0.05
NBC,256.58303570747375,0.0176999568939209,0,1680,2000,0.05
SNAC,275.961483001709,0.029024958610534668,0,1656,2000,0.05
NAC,275.77745294570923,0.02770000696182251,0,2549,3000,0.075
TKNC,283.3990089893341,0.0343250036239624,0,2501,3000,0.075
NBC,259.62682342529297,0.013000011444091797,0,2516,3000,0.075
SNAC,263.13297748565674,0.03402501344680786,0,2494,3000,0.075
NAC,262.82013630867004,0.036125004291534424,0,3382,4000,0.1
TKNC,268.44552183151245,0.03829997777938843,0,3342,4000,0.1
NBC,263.17895913124084,0.015549957752227783,0,3343,4000,0.1
SNAC,280.5278117656708,0.025399982929229736,0,3333,4000,0.1
