name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,248.22805261611938,0.006474971771240234,0,855,1000,0.025
TKNC,259.4888732433319,0.029124975204467773,0,836,1000,0.025
NBC,259.3538055419922,-0.0035499930381774902,0,865,1000,0.025
SNAC,271.7882990837097,-0.004949986934661865,0,842,1000,0.025
NAC,260.68314909935,0.010500013828277588,0,1708,2000,0.05
TKNC,271.827383518219,0.014024972915649414,0,1686,2000,0.05
NBC,265.3502218723297,0.015299975872039795,0,1707,2000,0.05
SNAC,275.8624806404114,0.022674977779388428,0,1670,2000,0.05
NAC,263.2192556858063,0.028499960899353027,0,2555,3000,0.075
TKNC,267.98238229751587,0.014599978923797607,0,2520,3000,0.075
NBC,284.81653928756714,0.029999971389770508,0,2542,3000,0.075
SNAC,279.68286323547363,0.031599998474121094,0,2506,3000,0.075
NAC,287.5705318450928,0.028124988079071045,0,3387,4000,0.1
TKNC,274.38236141204834,0.04584997892379761,0,3362,4000,0.1
NBC,281.0655035972595,0.01897495985031128,0,3366,4000,0.1
SNAC,257.7820417881012,0.033850014209747314,0,3348,4000,0.1
