name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,255.13257336616516,0.008700013160705566,0,1000,1000,0.025
TKNC,252.62929940223694,0.003699958324432373,0,1000,1000,0.025
NBC,256.6359226703644,0.008674979209899902,0,1000,1000,0.025
SNAC,265.97824931144714,0.028275012969970703,0,1000,1000,0.025
NAC,279.0128152370453,0.031674981117248535,0,2000,2000,0.05
TKNC,275.6106095314026,0.016574978828430176,0,2000,2000,0.05
NBC,272.85769271850586,0.01797497272491455,0,2000,2000,0.05
SNAC,273.7024509906769,0.02219998836517334,0,2000,2000,0.05
NAC,271.40939569473267,0.02884995937347412,0,3000,3000,0.075
TKNC,271.2220039367676,0.034150004386901855,0,3000,3000,0.075
NBC,264.82123589515686,0.02747499942779541,0,3000,3000,0.075
SNAC,263.1478896141052,0.02047497034072876,0,3000,3000,0.075
NAC,272.35671973228455,0.029999971389770508,0,4000,4000,0.1
TKNC,265.5570032596588,0.041574954986572266,0,4000,4000,0.1
NBC,264.05099296569824,0.02197498083114624,0,4000,4000,0.1
SNAC,260.33308148384094,0.048799991607666016,0,4000,4000,0.1
