name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,253.59305667877197,-0.004774987697601318,0,822,1000,0.025
TKNC,268.75208568573,-0.003125011920928955,0,825,1000,0.025
NBC,264.3590910434723,0.00462496280670166,0,791,1000,0.025
SNAC,256.03050470352173,0.007124960422515869,0,788,1000,0.025
NAC,278.7120966911316,0.018824994564056396,0,1676,2000,0.05
TKNC,263.95592212677,0.027649998664855957,0,1676,2000,0.05
NBC,285.84830045700073,0.011500000953674316,0,1630,2000,0.05
SNAC,257.1246738433838,0.01617497205734253,0,1625,2000,0.05
NAC,262.2634925842285,0.024199962615966797,0,2525,3000,0.075
TKNC,276.83224749565125,0.028824985027313232,0,2510,3000,0.075
NBC,274.8427588939667,0.03049999475479126,0,2466,3000,0.075
SNAC,274.4764986038208,0.01797497272491455,0,2459,3000,0.075
NAC,276.1073832511902,0.01237499713897705,0,3357,4000,0.1
TKNC,264.9769699573517,0.026224970817565918,0,3351,4000,0.1
NBC,271.31025099754333,0.03897500038146973,0,3296,4000,0.1
SNAC,266.48506140708923,0.01510000228881836,0,3302,4000,0.1
