name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,264.86918568611145,0.013475000858306885,0,1000,1000,0.025
TKNC,253.80658650398254,0.01367497444152832,0,1000,1000,0.025
NBC,273.98350262641907,0.0095750093460083,0,1000,1000,0.025
SNAC,275.42658972740173,0.012099981307983398,0,1000,1000,0.025
NAC,259.7472801208496,0.02399998903274536,0,2000,2000,0.05
TKNC,259.8887093067169,0.0272749662399292,0,2000,2000,0.05
NBC,254.20542240142822,0.02590000629425049,0,2000,2000,0.05
SNAC,280.0464687347412,0.023449957370758057,0,2000,2000,0.05
NAC,260.53137040138245,0.03487497568130493,0,3000,3000,0.075
TKNC,261.49796628952026,0.02120000123977661,0,3000,3000,0.075
NBC,282.80210638046265,0.015150010585784912,0,3000,3000,0.075
SNAC,282.5005350112915,0.017174959182739258,0,3000,3000,0.075
NAC,270.58980774879456,0.023449957370758057,0,4000,4000,0.1
TKNC,269.8364496231079,0.03227496147155762,0,4000,4000,0.1
NBC,279.9460117816925,0.03897500038146973,0,4000,4000,0.1
SNAC,266.48905301094055,0.030474960803985596,0,4000,4000,0.1
