name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,39.45799517631531,0.019824981689453125,0,1000,1000,0.025
TKNC,40.62861466407776,0.019974946975708008,0,1000,1000,0.025
NBC,40.533337116241455,0.022024989128112793,0,1000,1000,0.025
SNAC,40.700889110565186,0.020049989223480225,0,1000,1000,0.025
NAC,41.00662922859192,0.025849997997283936,0,2000,2000,0.05
TKNC,40.010281562805176,0.025325000286102295,0,2000,2000,0.05
NBC,41.200430154800415,0.026474952697753906,0,2000,2000,0.05
SNAC,41.299341440200806,0.02554994821548462,0,2000,2000,0.05
NAC,41.412365436553955,0.027749955654144287,0,3000,3000,0.075
TKNC,41.38206434249878,0.031474947929382324,0,3000,3000,0.075
NBC,41.03068566322327,0.031224966049194336,0,3000,3000,0.075
SNAC,41.476892709732056,0.03202497959136963,0,3000,3000,0.075
NAC,41.83329701423645,0.03380000591278076,0,4000,4000,0.1
TKNC,41.76866006851196,0.035524964332580566,0,4000,4000,0.1
NBC,41.472543716430664,0.03592497110366821,0,4000,4000,0.1
SNAC,41.583860874176025,0.03482496738433838,0,4000,4000,0.1
