name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,47.93404674530029,0.020949959754943848,0,1000,1000,0.025
TKNC,46.22812485694885,0.022549986839294434,0,1000,1000,0.025
NBC,46.77670335769653,0.02069997787475586,0,1000,1000,0.025
SNAC,45.73108148574829,0.02047497034072876,0,1000,1000,0.025
NAC,46.952845335006714,0.029499948024749756,0,2000,2000,0.05
TKNC,46.13369154930115,0.028499960899353027,0,2000,2000,0.05
NBC,46.00244951248169,0.0277249813079834,0,2000,2000,0.05
SNAC,46.507158517837524,0.02809995412826538,0,2000,2000,0.05
NAC,47.28649711608887,0.032949984073638916,0,3000,3000,0.075
TKNC,47.427727699279785,0.03299999237060547,0,3000,3000,0.075
NBC,47.71454930305481,0.034474968910217285,0,3000,3000,0.075
SNAC,46.35523247718811,0.032875001430511475,0,3000,3000,0.075
NAC,34.31007480621338,0.037274956703186035,0,4000,4000,0.1
TKNC,34.88511371612549,0.03782498836517334,0,4000,4000,0.1
NBC,32.8074836730957,0.03864997625350952,0,4000,4000,0.1
SNAC,36.11108064651489,0.03587496280670166,0,4000,4000,0.1
