name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,52.29814910888672,0.018225014209747314,0,852,1000,0.025
TKNC,51.80838227272034,0.02382504940032959,0,821,1000,0.025
NBC,50.89885139465332,0.019250035285949707,0,846,1000,0.025
SNAC,51.97364568710327,0.020525038242340088,0,832,1000,0.025
NAC,51.71121406555176,0.026024997234344482,0,1705,2000,0.05
TKNC,51.01588463783264,0.028725028038024902,0,1675,2000,0.05
NBC,51.29634404182434,0.024525046348571777,0,1686,2000,0.05
SNAC,52.08858299255371,0.02595001459121704,0,1665,2000,0.05
NAC,52.27666163444519,0.030600011348724365,0,2552,3000,0.075
TKNC,52.70927166938782,0.030350029468536377,0,2506,3000,0.075
NBC,51.83830666542053,0.030550003051757812,0,2528,3000,0.075
SNAC,52.448914527893066,0.03070002794265747,0,2499,3000,0.075
NAC,53.386834144592285,0.032025039196014404,0,3380,4000,0.1
TKNC,53.00391149520874,0.035125017166137695,0,3345,4000,0.1
NBC,52.808860540390015,0.034375011920928955,0,3354,4000,0.1
SNAC,52.435710430145264,0.033600032329559326,0,3345,4000,0.1
