name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,52.79450273513794,0.01877504587173462,0,851,1000,0.025
TKNC,51.789005756378174,0.023200035095214844,0,833,1000,0.025
NBC,52.550467014312744,0.018900036811828613,0,846,1000,0.025
SNAC,52.83012866973877,0.019725024700164795,0,831,1000,0.025
NAC,53.34688448905945,0.02685004472732544,0,1704,2000,0.05
TKNC,53.01048231124878,0.02942502498626709,0,1688,2000,0.05
NBC,52.94732165336609,0.025050044059753418,0,1686,2000,0.05
SNAC,53.331791639328,0.027100026607513428,0,1664,2000,0.05
NAC,52.99456739425659,0.03085005283355713,0,2551,3000,0.075
TKNC,53.49620842933655,0.03247499465942383,0,2519,3000,0.075
NBC,53.6000189781189,0.030750036239624023,0,2527,3000,0.075
SNAC,54.40950560569763,0.030775010585784912,0,2498,3000,0.075
NAC,53.84109663963318,0.03280001878738403,0,3381,4000,0.1
TKNC,54.73628616333008,0.03470003604888916,0,3358,4000,0.1
NBC,53.53429460525513,0.033325016498565674,0,3354,4000,0.1
SNAC,53.93257284164429,0.03422504663467407,0,3344,4000,0.1
