name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,239.86063766479492,0.001017928123474121,0,2160,2603,0.025
TKNC,252.3673801422119,0.007490754127502441,0,2201,2603,0.025
NBC,242.12842273712158,0.003841400146484375,0,2178,2603,0.025
SNAC,252.65119004249573,0.001526951789855957,0,2180,2603,0.025
NAC,246.83252596855164,0.009958863258361816,0,4360,5206,0.05
TKNC,252.60706448554993,0.010861635208129883,0,4413,5206,0.05
NBC,246.58506321907043,0.012523055076599121,0,4346,5206,0.05
SNAC,252.66537380218506,0.00882565975189209,0,4355,5206,0.05
NAC,254.22756052017212,0.01686382293701172,0,6531,7809,0.075
TKNC,252.5884735584259,0.020762860774993896,0,6601,7809,0.075
NBC,253.2268397808075,0.019456803798675537,0,6547,7809,0.075
SNAC,237.42644333839417,0.0175168514251709,0,6517,7809,0.075
NAC,255.414208650589,0.021588802337646484,0,8701,10412,0.1
TKNC,243.3438766002655,0.025218963623046875,0,8744,10412,0.1
NBC,267.655912399292,0.022885262966156006,0,8713,10412,0.1
SNAC,244.9993975162506,0.021828889846801758,0,8672,10412,0.1
