name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,244.68036723136902,0.00033611059188842773,0,2158,2603,0.025
TKNC,252.6170244216919,0.004321575164794922,0,2194,2603,0.025
NBC,252.64713644981384,-0.00042259693145751953,0,2167,2603,0.025
SNAC,244.84126615524292,0.0029866695404052734,0,2167,2603,0.025
NAC,260.9252960681915,0.012561440467834473,0,4358,5206,0.05
TKNC,247.52448725700378,0.011985242366790771,0,4407,5206,0.05
NBC,249.97583508491516,0.010285377502441406,0,4332,5206,0.05
SNAC,256.524071931839,0.014453351497650146,0,4344,5206,0.05
NAC,255.38170504570007,0.015980303287506104,0,6528,7809,0.075
TKNC,263.4375238418579,0.01750725507736206,0,6595,7809,0.075
NBC,251.25255465507507,0.014213263988494873,0,6535,7809,0.075
SNAC,251.7761902809143,0.013915538787841797,0,6507,7809,0.075
NAC,262.92206621170044,0.02595841884613037,0,8698,10412,0.1
TKNC,258.0333983898163,0.020196259021759033,0,8739,10412,0.1
NBC,266.3599512577057,0.02134871482849121,0,8699,10412,0.1
SNAC,259.0344250202179,0.019034266471862793,0,8663,10412,0.1
