name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,245.41539478302002,0.004417598247528076,0,2603,2603,0.025
TKNC,250.36444425582886,0.0020935535430908203,0,2603,2603,0.025
NBC,245.0625958442688,0.006607234477996826,0,2603,2603,0.025
SNAC,254.52001214027405,0.005896568298339844,0,2603,2603,0.025
NAC,252.86848282814026,0.012667059898376465,0,5206,5206,0.05
TKNC,246.92296648025513,0.009882032871246338,0,5206,5206,0.05
NBC,256.66302466392517,0.013771474361419678,0,5206,5206,0.05
SNAC,247.7914605140686,0.012014031410217285,0,5206,5206,0.05
NAC,264.61920952796936,0.01520240306854248,0,7809,7809,0.075
TKNC,258.71483159065247,0.019312739372253418,0,7809,7809,0.075
NBC,251.11093974113464,0.022049784660339355,0,7809,7809,0.075
SNAC,260.83789896965027,0.02015787363052368,0,7809,7809,0.075
NAC,260.54760003089905,0.026044845581054688,0,10412,10412,0.1
TKNC,266.3155994415283,0.02956932783126831,0,10412,10412,0.1
NBC,269.2124183177948,0.029434919357299805,0,10412,10412,0.1
SNAC,256.30022978782654,0.0276678204536438,0,10412,10412,0.1
