name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,255.68347573280334,0.002592921257019043,0,2161,2603,0.025
TKNC,250.75249433517456,0.0028522610664367676,0,2194,2603,0.025
NBC,253.00076460838318,0.0020935535430908203,0,2184,2603,0.025
SNAC,259.9898679256439,0.0028522610664367676,0,2185,2603,0.025
NAC,253.00415635108948,0.010506272315979004,0,4361,5206,0.05
TKNC,264.22702145576477,0.010035693645477295,0,4408,5206,0.05
NBC,258.1015932559967,0.01350259780883789,0,4351,5206,0.05
SNAC,254.2681541442871,0.01098644733428955,0,4360,5206,0.05
NAC,270.575355052948,0.020551621913909912,0,6531,7809,0.075
TKNC,257.66313648223877,0.01646047830581665,0,6595,7809,0.075
NBC,259.7977087497711,0.0208204984664917,0,6552,7809,0.075
SNAC,186.68538522720337,0.015404105186462402,0,6523,7809,0.075
NAC,166.08406972885132,0.02160799503326416,0,8702,10412,0.1
TKNC,182.64024353027344,0.01977372169494629,0,8740,10412,0.1
NBC,183.79969811439514,0.025699138641357422,0,8718,10412,0.1
SNAC,186.73378014564514,0.019139885902404785,0,8678,10412,0.1
