name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,160.44511890411377,0.0043984055519104,0,2603,2603,0.025
TKNC,170.97961711883545,0.0038222074508666992,0,2603,2603,0.025
NBC,170.07505130767822,0.0013252496719360352,0,2603,2603,0.025
SNAC,173.4103648662567,0.004321575164794922,0,2603,2603,0.025
NAC,169.82227206230164,0.013137638568878174,0,5206,5206,0.05
TKNC,169.45957827568054,0.013310492038726807,0,5206,5206,0.05
NBC,169.7295367717743,0.014981567859649658,0,5206,5206,0.05
SNAC,172.34029579162598,0.01292639970779419,0,5206,5206,0.05
NAC,175.6487832069397,0.017276763916015625,0,7809,7809,0.075
TKNC,176.07632207870483,0.020858943462371826,0,7809,7809,0.075
NBC,176.89528822898865,0.02031153440475464,0,7809,7809,0.075
SNAC,182.0244016647339,0.019735276699066162,0,7809,7809,0.075
NAC,161.00148010253906,0.026803553104400635,0,10412,10412,0.1
TKNC,179.21432852745056,0.02682274580001831,0,10412,10412,0.1
NBC,181.42131233215332,0.024229764938354492,0,10412,10412,0.1
SNAC,264.9230799674988,0.023038923740386963,0,10412,10412,0.1
