name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,471.0388307571411,0.013012826442718506,0,2198,2603,0.025
TKNC,478.70967411994934,0.01788187026977539,0,2311,2603,0.025
NBC,475.57258009910583,0.015826702117919922,0,2295,2603,0.025
SNAC,480.239177942276,0.017497718334197998,0,2256,2603,0.025
NAC,485.24657249450684,0.02249157428741455,0,4383,5206,0.05
TKNC,499.32983660697937,0.021588802337646484,0,4527,5206,0.05
NBC,490.8026514053345,0.019879400730133057,0,4437,5206,0.05
SNAC,478.5499384403229,0.018774986267089844,0,4446,5206,0.05
NAC,494.1104905605316,0.02677476406097412,0,6548,7809,0.075
TKNC,499.3784565925598,0.027350962162017822,0,6707,7809,0.075
NBC,500.311154127121,0.028954744338989258,0,6642,7809,0.075
SNAC,502.49594283103943,0.026323378086090088,0,6624,7809,0.075
NAC,508.8709602355957,0.028609037399291992,0,8721,10412,0.1
TKNC,494.6813886165619,0.030837059020996094,0,8867,10412,0.1
NBC,511.17706871032715,0.03171098232269287,0,8821,10412,0.1
SNAC,509.40589570999146,0.02873384952545166,0,8758,10412,0.1
