name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,400.1644208431244,0.013416171073913574,0,2136,2603,0.025
TKNC,373.709903717041,0.01399242877960205,0,2057,2603,0.025
NBC,377.88965249061584,0.01364666223526001,0,1913,2603,0.025
SNAC,412.47189593315125,0.01399242877960205,0,1911,2603,0.025
NAC,425.0458929538727,0.022184252738952637,0,4320,5206,0.05
TKNC,433.63271832466125,0.02235710620880127,0,4274,5206,0.05
NBC,431.588276386261,0.020465195178985596,0,4067,5206,0.05
SNAC,426.21909260749817,0.021665632724761963,0,4096,5206,0.05
NAC,404.10571455955505,0.02437382936477661,0,6487,7809,0.075
TKNC,389.28727173805237,0.02610248327255249,0,6462,7809,0.075
NBC,395.5935010910034,0.02459472417831421,0,6262,7809,0.075
SNAC,433.7422275543213,0.02584320306777954,0,6283,7809,0.075
NAC,439.05322098731995,0.027994394302368164,0,8659,10412,0.1
TKNC,448.2061607837677,0.03002077341079712,0,8628,10412,0.1
NBC,442.84467482566833,0.02796560525894165,0,8445,10412,0.1
SNAC,443.55251479148865,0.027399003505706787,0,8429,10412,0.1
