name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,387.08779525756836,0.01608598232269287,0,2603,2603,0.025
TKNC,385.2145733833313,0.018640518188476562,0,2603,2603,0.025
NBC,389.6738314628601,0.018045127391815186,0,2603,2603,0.025
SNAC,417.59167766571045,0.017055928707122803,0,2603,2603,0.025
NAC,430.7058913707733,0.022366702556610107,0,5206,5206,0.05
TKNC,425.057932138443,0.025478243827819824,0,5206,5206,0.05
NBC,432.54342794418335,0.023240625858306885,0,5206,5206,0.05
SNAC,432.86411929130554,0.024383485317230225,0,5206,5206,0.05
NAC,448.521436214447,0.029319703578948975,0,7809,7809,0.075
TKNC,396.78028678894043,0.03024160861968994,0,7809,7809,0.075
NBC,393.89657497406006,0.02886831760406494,0,7809,7809,0.075
SNAC,406.330851316452,0.029886305332183838,0,7809,7809,0.075
NAC,449.6358003616333,0.031153976917266846,0,10412,10412,0.1
TKNC,446.696249961853,0.03265213966369629,0,10412,10412,0.1
NBC,481.75778317451477,0.029972732067108154,0,10412,10412,0.1
SNAC,505.62494683265686,0.03466886281967163,0,10412,10412,0.1
