name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,483.35117745399475,0.01663339138031006,0,2603,2603,0.025
TKNC,476.65547609329224,0.019024670124053955,0,2603,2603,0.025
NBC,481.524986743927,0.016441285610198975,0,2603,2603,0.025
SNAC,481.46137523651123,0.016508519649505615,0,2603,2603,0.025
NAC,499.61444330215454,0.02513253688812256,0,5206,5206,0.05
TKNC,501.08405685424805,0.02501732110977173,0,5206,5206,0.05
NBC,495.8191421031952,0.02613133192062378,0,5206,5206,0.05
SNAC,496.0160667896271,0.023836076259613037,0,5206,5206,0.05
NAC,506.62350726127625,0.02848416566848755,0,7809,7809,0.075
TKNC,501.84007453918457,0.028397738933563232,0,7809,7809,0.075
NBC,500.18705344200134,0.029386937618255615,0,7809,7809,0.075
SNAC,496.1012704372406,0.029454171657562256,0,7809,7809,0.075
NAC,506.89363265037537,0.034457623958587646,0,10412,10412,0.1
TKNC,513.1077415943146,0.030692994594573975,0,10412,10412,0.1
NBC,513.8427288532257,0.033343613147735596,0,10412,10412,0.1
SNAC,497.5171072483063,0.031413257122039795,0,10412,10412,0.1
