name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,489.85489678382874,0.016274988651275635,0,813,1000,0.025
TKNC,493.2583100795746,0.003175020217895508,0,812,1000,0.025
NBC,485.86055278778076,0.01742500066757202,0,766,1000,0.025
SNAC,489.7597815990448,0.017925024032592773,0,775,1000,0.025
NAC,480.6677782535553,0.028725028038024902,0,1670,2000,0.05
TKNC,485.35317277908325,-0.00959998369216919,0,1662,2000,0.05
NBC,490.0721673965454,0.006150007247924805,0,1610,2000,0.05
SNAC,484.04976177215576,0.011200010776519775,0,1611,2000,0.05
NAC,497.6372380256653,0.021700024604797363,0,2517,3000,0.075
TKNC,501.43301916122437,0.03277498483657837,0,2498,3000,0.075
NBC,500.8545527458191,0.023225009441375732,0,2447,3000,0.075
SNAC,492.35965275764465,0.012449979782104492,0,2445,3000,0.075
NAC,493.5142295360565,0.014675021171569824,0,3349,4000,0.1
TKNC,493.2988600730896,0.032424986362457275,0,3340,4000,0.1
NBC,499.2294089794159,0.01487499475479126,0,3275,4000,0.1
SNAC,500.5036611557007,0.02522498369216919,0,3292,4000,0.1
