name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,484.24820947647095,0.013824999332427979,0,1000,1000,0.025
TKNC,508.10906529426575,0.004575014114379883,0,1000,1000,0.025
NBC,469.0767548084259,0.018774986267089844,0,1000,1000,0.025
SNAC,489.4004611968994,0.012974977493286133,0,1000,1000,0.025
NAC,487.46565532684326,0.030350029468536377,0,2000,2000,0.05
TKNC,498.5829439163208,0.021324992179870605,0,2000,2000,0.05
NBC,518.325263261795,0.00270003080368042,0,2000,2000,0.05
SNAC,631.9312074184418,0.011775016784667969,0,2000,2000,0.05
NAC,640.987530708313,0.037199974060058594,0,3000,3000,0.075
TKNC,639.6131637096405,0.00882500410079956,0,3000,3000,0.075
NBC,502.4421169757843,0.007950007915496826,0,3000,3000,0.075
SNAC,511.56986236572266,0.017949998378753662,0,3000,3000,0.075
NAC,508.2848527431488,0.030350029468536377,0,4000,4000,0.1
TKNC,497.0209038257599,0.04252499341964722,0,4000,4000,0.1
NBC,495.85839009284973,0.02060002088546753,0,4000,4000,0.1
SNAC,491.55022716522217,0.03259998559951782,0,4000,4000,0.1
