name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,231.3133852481842,0.015674948692321777,0,855,1000,0.025
TKNC,236.4776508808136,0.018899977207183838,0,948,1000,0.025
NBC,231.83996725082397,0.017799973487854004,0,895,1000,0.025
SNAC,231.96786546707153,0.012824952602386475,0,877,1000,0.025
NAC,237.02511024475098,0.023899972438812256,0,1716,2000,0.05
TKNC,236.099294424057,0.02399998903274536,0,1790,2000,0.05
NBC,233.4044108390808,0.023099958896636963,0,1732,2000,0.05
SNAC,232.54003381729126,0.020574986934661865,0,1701,2000,0.05
NAC,239.7056918144226,0.02672499418258667,0,2561,3000,0.075
TKNC,239.54801893234253,0.03049999475479126,0,2644,3000,0.075
NBC,236.4606306552887,0.023874998092651367,0,2572,3000,0.075
SNAC,241.30176901817322,0.025274991989135742,0,2532,3000,0.075
NAC,241.03916025161743,0.02952498197555542,0,3399,4000,0.1
TKNC,240.43217158317566,0.03279995918273926,0,3475,4000,0.1
NBC,240.53806066513062,0.030249953269958496,0,3413,4000,0.1
SNAC,239.87713837623596,0.029174983501434326,0,3361,4000,0.1
