name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,248.3670301437378,0.015999972820281982,0,855,1000,0.025
TKNC,232.4418716430664,0.018249988555908203,0,861,1000,0.025
NBC,235.62818050384521,0.01637500524520874,0,880,1000,0.025
SNAC,235.3482587337494,0.01797497272491455,0,901,1000,0.025
NAC,239.90041613578796,0.022449970245361328,0,1716,2000,0.05
TKNC,237.95055985450745,0.022374987602233887,0,1692,2000,0.05
NBC,236.8534550666809,0.02120000123977661,0,1717,2000,0.05
SNAC,235.7681906223297,0.019149959087371826,0,1724,2000,0.05
NAC,260.40312027931213,0.02577495574951172,0,2561,3000,0.075
TKNC,257.5738525390625,0.03254997730255127,0,2548,3000,0.075
NBC,257.4997389316559,0.02627497911453247,0,2556,3000,0.075
SNAC,279.2996973991394,0.024524986743927002,0,2555,3000,0.075
NAC,275.98301672935486,0.030124962329864502,0,3396,4000,0.1
TKNC,278.1422607898712,0.029724955558776855,0,3380,4000,0.1
NBC,278.7369923591614,0.03004997968673706,0,3396,4000,0.1
SNAC,280.39166808128357,0.02944999933242798,0,3391,4000,0.1
