name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,237.9725365638733,0.015249967575073242,0,853,1000,0.025
TKNC,240.19666361808777,0.01927495002746582,0,965,1000,0.025
NBC,243.20847940444946,0.014225006103515625,0,835,1000,0.025
SNAC,239.13041162490845,0.013324975967407227,0,858,1000,0.025
NAC,242.42606854438782,0.022899985313415527,0,1714,2000,0.05
TKNC,244.8416407108307,0.022599995136260986,0,1805,2000,0.05
NBC,234.03455567359924,0.02222496271133423,0,1677,2000,0.05
SNAC,245.22734141349792,0.02092498540878296,0,1682,2000,0.05
NAC,242.81239795684814,0.023749947547912598,0,2559,3000,0.075
TKNC,246.0274465084076,0.027449965476989746,0,2659,3000,0.075
NBC,246.02431106567383,0.028649985790252686,0,2514,3000,0.075
SNAC,247.8474521636963,0.027125000953674316,0,2516,3000,0.075
NAC,250.00323486328125,0.029999971389770508,0,3397,4000,0.1
TKNC,248.22637104988098,0.031474947929382324,0,3488,4000,0.1
NBC,250.79771947860718,0.028925001621246338,0,3355,4000,0.1
SNAC,251.0473117828369,0.029649972915649414,0,3349,4000,0.1
