name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,233.6487421989441,0.018574953079223633,0,1000,1000,0.025
TKNC,234.51918029785156,0.021124958992004395,0,1000,1000,0.025
NBC,235.16737580299377,0.01677495241165161,0,1000,1000,0.025
SNAC,234.1712884902954,0.01592499017715454,0,1000,1000,0.025
NAC,237.67760705947876,0.02222496271133423,0,2000,2000,0.05
TKNC,236.7086796760559,0.025374948978424072,0,2000,2000,0.05
NBC,256.48679661750793,0.02477496862411499,0,2000,2000,0.05
SNAC,248.21320271492004,0.021074950695037842,0,2000,2000,0.05
NAC,250.65612196922302,0.027849972248077393,0,3000,3000,0.075
TKNC,253.2486217021942,0.03052496910095215,0,3000,3000,0.075
NBC,253.19314670562744,0.028050005435943604,0,3000,3000,0.075
SNAC,251.86149740219116,0.02657496929168701,0,3000,3000,0.075
NAC,258.22021746635437,0.03200000524520874,0,4000,4000,0.1
TKNC,255.4886133670807,0.03154999017715454,0,4000,4000,0.1
NBC,259.07515025138855,0.03384995460510254,0,4000,4000,0.1
SNAC,246.2797510623932,0.03217500448226929,0,4000,4000,0.1
