name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,39.940611362457275,0.014950037002563477,0,850,1000,0.025
TKNC,39.353121280670166,0.017024993896484375,0,828,1000,0.025
NBC,38.7553870677948,0.012549996376037598,0,834,1000,0.025
SNAC,39.57842659950256,0.011875033378601074,0,821,1000,0.025
NAC,40.24639534950256,0.021849989891052246,0,1704,2000,0.05
TKNC,40.09728693962097,0.027424991130828857,0,1686,2000,0.05
NBC,38.01096725463867,0.020650029182434082,0,1675,2000,0.05
SNAC,39.59640407562256,0.02187502384185791,0,1652,2000,0.05
NAC,39.86825942993164,0.03125,0,2551,3000,0.075
TKNC,39.15297985076904,0.029900014400482178,0,2519,3000,0.075
NBC,39.219451904296875,0.028174996376037598,0,2517,3000,0.075
SNAC,40.02687335014343,0.0261000394821167,0,2490,3000,0.075
NAC,38.86824178695679,0.03299999237060547,0,3379,4000,0.1
TKNC,41.38694930076599,0.03470003604888916,0,3353,4000,0.1
NBC,41.10888147354126,0.030550003051757812,0,3343,4000,0.1
SNAC,40.434070110321045,0.030275046825408936,0,3334,4000,0.1
