name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,40.369898080825806,0.017750024795532227,0,1000,1000,0.025
TKNC,38.898961305618286,0.019950032234191895,0,1000,1000,0.025
NBC,39.08153820037842,0.015749990940093994,0,1000,1000,0.025
SNAC,39.18179225921631,0.01412498950958252,0,1000,1000,0.025
NAC,40.51940155029297,0.02390003204345703,0,2000,2000,0.05
TKNC,39.38874912261963,0.02717500925064087,0,2000,2000,0.05
NBC,40.34471106529236,0.026775002479553223,0,2000,2000,0.05
SNAC,39.7891731262207,0.021775007247924805,0,2000,2000,0.05
NAC,40.70623302459717,0.030650019645690918,0,3000,3000,0.075
TKNC,40.577391624450684,0.032350003719329834,0,3000,3000,0.075
NBC,42.166229009628296,0.03200000524520874,0,3000,3000,0.075
SNAC,41.029611349105835,0.029775023460388184,0,3000,3000,0.075
NAC,40.2816162109375,0.0343250036239624,0,4000,4000,0.1
TKNC,40.56659507751465,0.03755003213882446,0,4000,4000,0.1
NBC,40.443525075912476,0.03627502918243408,0,4000,4000,0.1
SNAC,39.77129411697388,0.034449994564056396,0,4000,4000,0.1
