name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,301.30891013145447,0.002124965190887451,0,849,1000,0.025
TKNC,302.09659337997437,-0.0003250241279602051,0,813,1000,0.025
NBC,303.71345591545105,0.01412498950958252,0,842,1000,0.025
SNAC,292.6077117919922,0.031449973583221436,0,826,1000,0.025
NAC,304.78464365005493,0.01759999990463257,0,1702,2000,0.05
TKNC,303.68915271759033,0.03254997730255127,0,1666,2000,0.05
NBC,305.0282678604126,0.02195000648498535,0,1684,2000,0.05
SNAC,306.14277362823486,0.02522498369216919,0,1656,2000,0.05
NAC,309.61959505081177,0.03249996900558472,0,2549,3000,0.075
TKNC,298.34673976898193,0.03789997100830078,0,2501,3000,0.075
NBC,304.9826281070709,0.030999958515167236,0,2519,3000,0.075
SNAC,301.3740441799164,0.03334999084472656,0,2493,3000,0.075
NAC,302.1784977912903,0.03240001201629639,0,3381,4000,0.1
TKNC,294.3632667064667,0.03345000743865967,0,3344,4000,0.1
NBC,292.27227330207825,0.027399957180023193,0,3347,4000,0.1
SNAC,296.2128188610077,0.034900009632110596,0,3331,4000,0.1
