name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,324.54280281066895,0.01789999008178711,0,855,1000,0.025
TKNC,304.43385887145996,0.010424971580505371,0,832,1000,0.025
NBC,314.8106486797333,0.0026000142097473145,0,867,1000,0.025
SNAC,336.7342326641083,0.004875004291534424,0,844,1000,0.025
NAC,357.3163902759552,0.022924959659576416,0,1708,2000,0.05
TKNC,338.11107110977173,0.04087495803833008,0,1685,2000,0.05
NBC,324.0833249092102,0.02047497034072876,0,1710,2000,0.05
SNAC,319.4368636608124,0.024850010871887207,0,1672,2000,0.05
NAC,334.2230432033539,0.025424957275390625,0,2555,3000,0.075
TKNC,324.00935459136963,0.030399978160858154,0,2518,3000,0.075
NBC,337.946053981781,0.031449973583221436,0,2544,3000,0.075
SNAC,327.85496616363525,0.014024972915649414,0,2509,3000,0.075
NAC,335.79126048088074,0.03670001029968262,0,3387,4000,0.1
TKNC,332.62599873542786,0.022525012493133545,0,3358,4000,0.1
NBC,332.7459456920624,0.0339999794960022,0,3368,4000,0.1
SNAC,325.54977798461914,0.037499964237213135,0,3350,4000,0.1
