name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,296.92369866371155,0.007124960422515869,0,1000,1000,0.025
TKNC,299.98895239830017,0.017874956130981445,0,1000,1000,0.025
NBC,294.2871468067169,0.018999993801116943,0,1000,1000,0.025
SNAC,298.39854550361633,-0.0015749931335449219,0,1000,1000,0.025
NAC,303.18183636665344,0.01194995641708374,0,2000,2000,0.05
TKNC,303.4339063167572,0.01962500810623169,0,2000,2000,0.05
NBC,303.9205458164215,0.004049956798553467,0,2000,2000,0.05
SNAC,302.19347167015076,0.034474968910217285,0,2000,2000,0.05
NAC,302.95023798942566,0.026300013065338135,0,3000,3000,0.075
TKNC,310.90452337265015,0.03934997320175171,0,3000,3000,0.075
NBC,318.1276068687439,0.028824985027313232,0,3000,3000,0.075
SNAC,309.8402683734894,0.03249996900558472,0,3000,3000,0.075
NAC,314.45580530166626,0.026825010776519775,0,4000,4000,0.1
TKNC,318.14948081970215,0.043725013732910156,0,4000,4000,0.1
NBC,316.5239026546478,0.03584998846054077,0,4000,4000,0.1
SNAC,309.6406681537628,0.018824994564056396,0,4000,4000,0.1
