name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,39.79471468925476,0.01969999074935913,0,1000,1000,0.025
TKNC,41.37254095077515,0.022024989128112793,0,1000,1000,0.025
NBC,40.73369741439819,0.02047497034072876,0,1000,1000,0.025
SNAC,40.500378370285034,0.020724952220916748,0,1000,1000,0.025
NAC,39.52501678466797,0.029624998569488525,0,2000,2000,0.05
TKNC,41.052828311920166,0.027949988842010498,0,2000,2000,0.05
NBC,39.65399694442749,0.027974963188171387,0,2000,2000,0.05
SNAC,41.45924472808838,0.028599977493286133,0,2000,2000,0.05
NAC,39.60834527015686,0.035474956035614014,0,3000,3000,0.075
TKNC,40.33563232421875,0.03452497720718384,0,3000,3000,0.075
NBC,40.02550959587097,0.03324997425079346,0,3000,3000,0.075
SNAC,39.522961378097534,0.03252500295639038,0,3000,3000,0.075
NAC,41.96098327636719,0.03692495822906494,0,4000,4000,0.1
TKNC,40.61791133880615,0.03927499055862427,0,4000,4000,0.1
NBC,41.968345642089844,0.03777498006820679,0,4000,4000,0.1
SNAC,40.13296413421631,0.03592497110366821,0,4000,4000,0.1
