name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,48.59252333641052,0.020299971103668213,0,852,1000,0.025
TKNC,45.87248945236206,0.022374987602233887,0,825,1000,0.025
NBC,46.89927530288696,0.019225001335144043,0,847,1000,0.025
SNAC,46.58246040344238,0.021574974060058594,0,832,1000,0.025
NAC,48.89473819732666,0.026899993419647217,0,1705,2000,0.05
TKNC,46.88684296607971,0.02877497673034668,0,1679,2000,0.05
NBC,45.49711728096008,0.025699973106384277,0,1687,2000,0.05
SNAC,46.34449291229248,0.025075018405914307,0,1665,2000,0.05
NAC,48.17166090011597,0.02997499704360962,0,2552,3000,0.075
TKNC,49.81143927574158,0.030775010585784912,0,2510,3000,0.075
NBC,47.14001774787903,0.03207498788833618,0,2530,3000,0.075
SNAC,47.56329607963562,0.03152501583099365,0,2500,3000,0.075
NAC,48.24965238571167,0.0340999960899353,0,3381,4000,0.1
TKNC,47.17344927787781,0.03579998016357422,0,3349,4000,0.1
NBC,51.44567608833313,0.03324997425079346,0,3355,4000,0.1
SNAC,49.7912540435791,0.03497499227523804,0,3345,4000,0.1
