name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,46.68262004852295,0.016475021839141846,0,1000,1000,0.025
TKNC,47.69170689582825,0.020500004291534424,0,1000,1000,0.025
NBC,47.924532890319824,0.0193750262260437,0,1000,1000,0.025
SNAC,48.02907061576843,0.018575012683868408,0,1000,1000,0.025
NAC,49.33971285820007,0.025150001049041748,0,2000,2000,0.05
TKNC,50.92088031768799,0.02897500991821289,0,2000,2000,0.05
NBC,50.067219495773315,0.02792501449584961,0,2000,2000,0.05
SNAC,48.021424293518066,0.027750015258789062,0,2000,2000,0.05
NAC,47.44148921966553,0.029850006103515625,0,3000,3000,0.075
TKNC,50.930946350097656,0.03222501277923584,0,3000,3000,0.075
NBC,50.675647020339966,0.0343250036239624,0,3000,3000,0.075
SNAC,48.83128547668457,0.032575011253356934,0,3000,3000,0.075
NAC,49.594496726989746,0.03320002555847168,0,4000,4000,0.1
TKNC,47.72277116775513,0.03554999828338623,0,4000,4000,0.1
NBC,47.5569543838501,0.03757500648498535,0,4000,4000,0.1
SNAC,47.988389015197754,0.03607499599456787,0,4000,4000,0.1
