name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,151.01360630989075,0.004763364791870117,0,2161,2603,0.025
TKNC,147.2331039905548,-0.0005666017532348633,0,2195,2603,0.025
NBC,148.1674702167511,0.001987934112548828,0,2168,2603,0.025
SNAC,148.91904306411743,0.002938687801361084,0,2169,2603,0.025
NAC,149.86283469200134,0.013243317604064941,0,4362,5206,0.05
TKNC,151.67807412147522,0.011380195617675781,0,4407,5206,0.05
NBC,151.4251618385315,0.011111319065093994,0,4334,5206,0.05
SNAC,151.32458400726318,0.008307099342346191,0,4344,5206,0.05
NAC,153.23852801322937,0.01630687713623047,0,6531,7809,0.075
TKNC,152.83314204216003,0.017564892768859863,0,6595,7809,0.075
NBC,151.15953516960144,0.016047537326812744,0,6536,7809,0.075
SNAC,153.83696007728577,0.01591312885284424,0,6507,7809,0.075
NAC,154.0952250957489,0.021147072315216064,0,8701,10412,0.1
TKNC,154.20405268669128,0.02328866720199585,0,8739,10412,0.1
NBC,154.64899134635925,0.02096456289291382,0,8702,10412,0.1
SNAC,154.14576029777527,0.01900547742843628,0,8663,10412,0.1
