name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,148.86389684677124,0.005349159240722656,0,2603,2603,0.025
TKNC,148.9625380039215,0.0004801750183105469,0,2603,2603,0.025
NBC,147.11773133277893,0.007606029510498047,0,2603,2603,0.025
SNAC,148.28087162971497,0.0024489164352416992,0,2603,2603,0.025
NAC,150.5468089580536,0.012609481811523438,0,5206,5206,0.05
TKNC,151.46628594398499,0.010314226150512695,0,5206,5206,0.05
NBC,152.50753688812256,0.015384912490844727,0,5206,5206,0.05
SNAC,152.94049096107483,0.01410764455795288,0,5206,5206,0.05
NAC,154.72463846206665,0.01734405755996704,0,7809,7809,0.075
TKNC,155.50039625167847,0.016642987728118896,0,7809,7809,0.075
NBC,155.67607808113098,0.019562482833862305,0,7809,7809,0.075
SNAC,154.002117395401,0.021041393280029297,0,7809,7809,0.075
NAC,157.35630321502686,0.02301013469696045,0,10412,10412,0.1
TKNC,156.43072652816772,0.026880383491516113,0,10412,10412,0.1
NBC,156.78924131393433,0.025555074214935303,0,10412,10412,0.1
SNAC,158.09724950790405,0.02901238203048706,0,10412,10412,0.1
