name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,150.46961426734924,0.0027177929878234863,0,2162,2603,0.025
TKNC,151.50072693824768,0.005195498466491699,0,2209,2603,0.025
NBC,149.6068012714386,0.002919495105743408,0,2185,2603,0.025
SNAC,146.95175766944885,0.003361225128173828,0,2186,2603,0.025
NAC,154.26421451568604,0.010285437107086182,0,4363,5206,0.05
TKNC,155.44963836669922,0.01212930679321289,0,4421,5206,0.05
NBC,153.78670811653137,0.009603559970855713,0,4351,5206,0.05
SNAC,153.69086003303528,0.007039427757263184,0,4361,5206,0.05
NAC,156.3351767063141,0.017238378524780273,0,6532,7809,0.075
TKNC,157.8022038936615,0.01702713966369629,0,6609,7809,0.075
NBC,159.76759004592896,0.019283950328826904,0,6553,7809,0.075
SNAC,158.5175862312317,0.012916803359985352,0,6524,7809,0.075
NAC,161.36230635643005,0.026371359825134277,0,8702,10412,0.1
TKNC,160.8834319114685,0.023375093936920166,0,8753,10412,0.1
NBC,158.15837621688843,0.020321130752563477,0,8719,10412,0.1
SNAC,161.98642873764038,0.022136211395263672,0,8679,10412,0.1
