name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,383.6145079135895,0.017622530460357666,0,2603,2603,0.025
TKNC,387.7834403514862,0.020455598831176758,0,2603,2603,0.025
NBC,388.6387028694153,0.015903472900390625,0,2603,2603,0.025
SNAC,388.7084057331085,0.013560235500335693,0,2603,2603,0.025
NAC,396.867258310318,0.02459472417831421,0,5206,5206,0.05
TKNC,399.52486848831177,0.023999333381652832,0,5206,5206,0.05
NBC,399.8631401062012,0.02438342571258545,0,5206,5206,0.05
SNAC,402.2503321170807,0.024172186851501465,0,5206,5206,0.05
NAC,407.6445429325104,0.02624654769897461,0,7809,7809,0.075
TKNC,413.498806476593,0.031240403652191162,0,7809,7809,0.075
NBC,410.1642141342163,0.028138458728790283,0,7809,7809,0.075
SNAC,413.3607060909271,0.02775430679321289,0,7809,7809,0.075
NAC,416.6403999328613,0.033794939517974854,0,10412,10412,0.1
TKNC,417.4017016887665,0.03207588195800781,0,10412,10412,0.1
NBC,414.26966738700867,0.03135561943054199,0,10412,10412,0.1
SNAC,417.1172106266022,0.03250807523727417,0,10412,10412,0.1
