name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,416.3422203063965,0.013100028038024902,0,851,1000,0.025
TKNC,435.3347017765045,0.008499979972839355,0,846,1000,0.025
NBC,440.10286927223206,0.013424992561340332,0,838,1000,0.025
SNAC,438.7778525352478,0.009824991226196289,0,822,1000,0.025
NAC,417.57488346099854,0.00884997844696045,0,1704,2000,0.05
TKNC,415.23155403137207,0.016499996185302734,0,1697,2000,0.05
NBC,422.9349913597107,0.033100008964538574,0,1680,2000,0.05
SNAC,445.87005591392517,0.011725008487701416,0,1656,2000,0.05
NAC,447.59457063674927,0.038699984550476074,0,2551,3000,0.075
TKNC,443.8715035915375,0.02640002965927124,0,2531,3000,0.075
NBC,425.7849199771881,0.013949990272521973,0,2514,3000,0.075
SNAC,435.7684690952301,0.011025011539459229,0,2489,3000,0.075
NAC,422.4066843986511,0.032949984073638916,0,3384,4000,0.1
TKNC,431.8265142440796,0.02315002679824829,0,3373,4000,0.1
NBC,426.8738548755646,0.003600001335144043,0,3339,4000,0.1
SNAC,451.7625849246979,0.04232501983642578,0,3332,4000,0.1
