name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,472.667920589447,0.00647503137588501,0,846,1000,0.025
TKNC,447.0148460865021,0.0046250224113464355,0,841,1000,0.025
NBC,416.9592390060425,0.0020999908447265625,0,818,1000,0.025
SNAC,419.79168128967285,0.013525009155273438,0,814,1000,0.025
NAC,418.7389268875122,0.022300004959106445,0,1699,2000,0.05
TKNC,427.29838013648987,0.010100007057189941,0,1692,2000,0.05
NBC,439.59058952331543,0.009325027465820312,0,1662,2000,0.05
SNAC,429.6307210922241,0.006150007247924805,0,1651,2000,0.05
NAC,436.39466643333435,0.01969999074935913,0,2547,3000,0.075
TKNC,436.5040764808655,0.005924999713897705,0,2527,3000,0.075
NBC,411.7291941642761,0.010999977588653564,0,2495,3000,0.075
SNAC,411.50545501708984,0.008700013160705566,0,2485,3000,0.075
NAC,445.16448879241943,0.01789999008178711,0,3379,4000,0.1
TKNC,439.9839012622833,0.03202497959136963,0,3370,4000,0.1
NBC,434.2128872871399,0.016574978828430176,0,3321,4000,0.1
SNAC,436.73466515541077,0.036875009536743164,0,3328,4000,0.1
