name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,420.56844687461853,0.0027750134468078613,0,1000,1000,0.025
TKNC,429.57304215431213,0.013549983501434326,0,1000,1000,0.025
NBC,457.6146056652069,0.021049976348876953,0,1000,1000,0.025
SNAC,474.13460302352905,0.008324980735778809,0,1000,1000,0.025
NAC,468.9387753009796,0.023374974727630615,0,2000,2000,0.05
TKNC,458.2077875137329,0.00625002384185791,0,2000,2000,0.05
NBC,449.03246426582336,0.008475005626678467,0,2000,2000,0.05
SNAC,476.9951813220978,0.005550026893615723,0,2000,2000,0.05
NAC,486.75429606437683,0.021600008010864258,0,3000,3000,0.075
TKNC,465.1047911643982,0.035374999046325684,0,3000,3000,0.075
NBC,480.9404957294464,0.027649998664855957,0,3000,3000,0.075
SNAC,463.12747621536255,0.027225017547607422,0,3000,3000,0.075
NAC,476.6292746067047,0.02044999599456787,0,4000,4000,0.1
TKNC,470.90999126434326,0.02512502670288086,0,4000,4000,0.1
NBC,488.3710608482361,0.023599982261657715,0,4000,4000,0.1
SNAC,484.2732412815094,0.024025022983551025,0,4000,4000,0.1
