name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,232.35780811309814,0.01994997262954712,0,1000,1000,0.025
TKNC,234.54704236984253,0.01617497205734253,0,1000,1000,0.025
NBC,232.80650687217712,0.01637500524520874,0,1000,1000,0.025
SNAC,235.23592138290405,0.016049981117248535,0,1000,1000,0.025
NAC,240.1229636669159,0.022149980068206787,0,2000,2000,0.05
TKNC,234.65163898468018,0.02507495880126953,0,2000,2000,0.05
NBC,232.63516902923584,0.02297496795654297,0,2000,2000,0.05
SNAC,221.97107791900635,0.022349953651428223,0,2000,2000,0.05
NAC,218.11918020248413,0.02447497844696045,0,3000,3000,0.075
TKNC,215.93396759033203,0.030249953269958496,0,3000,3000,0.075
NBC,216.11170649528503,0.029124975204467773,0,3000,3000,0.075
SNAC,219.3578495979309,0.028199970722198486,0,3000,3000,0.075
NAC,227.95429301261902,0.0305749773979187,0,4000,4000,0.1
TKNC,219.52327418327332,0.03139996528625488,0,4000,4000,0.1
NBC,225.7461817264557,0.03139996528625488,0,4000,4000,0.1
SNAC,224.82023549079895,0.032974958419799805,0,4000,4000,0.1
