name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,43.51602125167847,0.016349971294403076,0,848,1000,0.025
TKNC,42.516989946365356,0.014474987983703613,0,827,1000,0.025
NBC,43.306753635406494,0.010699987411499023,0,830,1000,0.025
SNAC,42.86312913894653,0.0151749849319458,0,819,1000,0.025
NAC,43.086427211761475,0.025250017642974854,0,1702,2000,0.05
TKNC,42.56109619140625,0.025624990463256836,0,1684,2000,0.05
NBC,43.7570743560791,0.022849977016448975,0,1671,2000,0.05
SNAC,41.658833503723145,0.021049976348876953,0,1650,2000,0.05
NAC,43.343448638916016,0.029874980449676514,0,2549,3000,0.075
TKNC,42.8164803981781,0.031350016593933105,0,2517,3000,0.075
NBC,43.59774351119995,0.025600016117095947,0,2513,3000,0.075
SNAC,43.130720138549805,0.02477496862411499,0,2489,3000,0.075
NAC,43.56646537780762,0.031974971294403076,0,3377,4000,0.1
TKNC,43.82862377166748,0.03560000658035278,0,3351,4000,0.1
NBC,43.814366579055786,0.02974998950958252,0,3339,4000,0.1
SNAC,43.976263761520386,0.03157496452331543,0,3332,4000,0.1
