name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,42.452223777770996,0.018899977207183838,0,852,1000,0.025
TKNC,40.702701568603516,0.018374979496002197,0,830,1000,0.025
NBC,42.53366827964783,0.018899977207183838,0,840,1000,0.025
SNAC,43.63071346282959,0.017799973487854004,0,826,1000,0.025
NAC,42.47708582878113,0.02629995346069336,0,1706,2000,0.05
TKNC,41.9164400100708,0.026224970817565918,0,1687,2000,0.05
NBC,42.34315633773804,0.025249958038330078,0,1680,2000,0.05
SNAC,42.16847252845764,0.02649998664855957,0,1657,2000,0.05
NAC,42.23886013031006,0.030974984169006348,0,2553,3000,0.075
TKNC,43.01289916038513,0.03149998188018799,0,2520,3000,0.075
NBC,43.73149061203003,0.030924975872039795,0,2522,3000,0.075
SNAC,43.675193071365356,0.0303499698638916,0,2496,3000,0.075
NAC,42.53873324394226,0.03630000352859497,0,3381,4000,0.1
TKNC,43.04930329322815,0.034474968910217285,0,3354,4000,0.1
NBC,43.050225019454956,0.03427499532699585,0,3349,4000,0.1
SNAC,43.21304774284363,0.034999966621398926,0,3339,4000,0.1
