name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,43.88594675064087,0.01940000057220459,0,851,1000,0.025
TKNC,43.857080698013306,0.018399953842163086,0,829,1000,0.025
NBC,43.130584478378296,0.017174959182739258,0,837,1000,0.025
SNAC,42.78660869598389,0.017949998378753662,0,825,1000,0.025
NAC,43.79316806793213,0.02657496929168701,0,1705,2000,0.05
TKNC,42.99714207649231,0.027899980545043945,0,1686,2000,0.05
NBC,42.92755675315857,0.02484995126724243,0,1678,2000,0.05
SNAC,43.40920448303223,0.025424957275390625,0,1656,2000,0.05
NAC,43.60096478462219,0.0310249924659729,0,2552,3000,0.075
TKNC,42.81038451194763,0.03142499923706055,0,2519,3000,0.075
NBC,43.667762994766235,0.031674981117248535,0,2521,3000,0.075
SNAC,43.53646278381348,0.03104996681213379,0,2495,3000,0.075
NAC,44.52890133857727,0.03549998998641968,0,3380,4000,0.1
TKNC,43.51119637489319,0.03509998321533203,0,3353,4000,0.1
NBC,43.71845769882202,0.0361749529838562,0,3346,4000,0.1
SNAC,44.774677991867065,0.03454995155334473,0,3338,4000,0.1
